,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
84,MTA1,0.701,transcription regulator,"Akt,Ap1,ATF2,CEBPA,CHEK1,CTNNB1,EGFR,EGR1,EIF2A,ERK,ERK1/2,EZH2,FANCD2,FOSL1,GSK3B,IGF1R,JUN,LEF1,MAP2K1,MAPK1,MED1,Mek,MMP2,MTA1,MTOR,MYC,P38 MAPK,RELA,RPS6KB1,SMAD3,SP1,STAT1,STAT3,TFEB",3,Inhibited,-3.7030000000000003,1.18e-14,0.0437,"A2M,ABCB1,ABCC1,ACSL1,ALB,ALCAM,APOBEC3G,APOC3,ARHGDIB,ARRB1,ASNS,ATP6AP2,AURKA,B2M,BAG1,BAX,BCOR,BZW2,C3,C4A/C4B,CASP1,CBS/CBSL,CCL4,CD14,CD36,CD44,CD47,CD55,CD82,CDK6,CEBPA,CLEC11A,CLTC,COL1A2,COX5A,CSF1R,CTSS,DDX58,DDX60,DHCR24,DNMT1,DOCK8,EDF1,EIF2AK2,EIF4E,ELANE,ERAP1,ERMP1,ERP29,EZR,FOSL1,GBP2,GBP4,GDF15,GLA,GNS,GOLGA2,GOT1,GTF2B,H1-10,H2AX,HINT1,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP2,IGLL1/IGLL5,IL1RN,IPO7,IRF2BP2,IRF8,ISG15,ITGB5,JUN,JUND,KAT2B,LAMP1,LAP3,LGALS3,LTF,MAD1L1,MAP4K4,MIF,MKI67,MMP2,MMP9,MVP,MX1,MX2,NAMPT,NCOA7,NDRG1,NDUFB8,NFATC2,NPM1,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PCK2,PDCD4,PEA15,PLG,PML,POLDIP3,POLR2D,PPIA,PPP3CA,PPP3CB,PSIP1,PSMB3,PSMB7,PSME2,PTPN2,PXN,RAB4B,RABGAP1L,RAD23A,RCC1,RGS1,RPL11,RSAD2,RUNX1,S100A4,S100A9,SCPEP1,SERPINE2,SERPINF1,SLC9A3R1,SOD1,SPRY2,SRSF1,STAT2,SUMO1,SUMO2,SUMO3,TANK,TAP1,TAP2,TAPBP,TFB2M,TGFB1,TGM2,THBD,TMSB10/TMSB4X,TRADD,TREM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,WTAP,ZFP91,ZYX",168 (34),34,24hr_PROT_causal_unique,True,
91,PIM2, ,kinase,"Akt,AKT1,AMPK,CDK2,CHEK1,CTNNB1,EIF4E,EIF4EBP1,GSK3B,HIF1A,HSF1,MTOR,MTORC1,MYC,PIM2,PKM,PRKAA,RAC1,RB1,RHOA,RICTOR,RPS6KB1,SMARCA4,SNAI2,SREBF1,SREBF2,TFEB,TSC2",3,Inhibited,-2.302,1.46e-14,0.0104,"ABCC1,ABRACL,ACSL5,ACTB,ALCAM,APOBEC3F,APOBEC3G,APOE,ARF4,ATG9A,AURKA,BAG1,BAG3,BAX,BCOR,BSG,BZW2,CAP2,CARS1,CBX3,CD14,CD36,CD47,CD82,CEBPA,CEBPB,CFP,CLDND1,COL1A1,COX4I1,COX5A,CP,CPM,CTSD,CYCS,CYP51A1,DHCR24,DNMT1,EFEMP1,FBLN1,FCGR2A,FDPS,FH,FHL1,GGT1,GLA,GLB1,GMFG,GNS,GPNMB,GSTP1,GTF2B,H2AX,HCLS1,HK2,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,HSPB1,HSPE1,HYOU1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,INPP1,IPO7,IRF5,ITGB5,JUND,KRT10,LAMP1,MAFF,MBD2,MBOAT7,METTL3,MIF,MMP2,MMP9,MRPL18,MTRES1,MX1,MX2,NASP,NCF1,NCOR1,NFKB1,NT5E,NUCKS1,NUDCD2,OAS1,OASL,PCK2,PDCD4,PEA15,PGLS,PLAU,PLIN2,POLDIP3,POLR2D,PPP3CA,PXN,RAB5C,RAD23A,RANBP1,RBL2,RCC1,RELA,RGS1,RHOC,RNASET2,ROCK1,RPE,RPL11,RRAD,RSAD2,S100A6,SERPINH1,SLC2A1,SLC9A3R1,SMC1A,SPRY2,SRC,SRSF2,SSBP1,ST13,STAT1,STAT4,STAT6,STIP1,SUMO1,SUMO2,SUMO3,TALDO1,TAP1,TFRC,TGFB1,THBS1,TRAF1,UBE2I,WTAP",148 (28),25,24hr_PROT_causal_unique,True,
95,IFNL1, ,cytokine,"Akt,GSK3B,IFNL1,Mapk,RHOA,STAT1,STAT3,TP63",3,Activated,5.421,1.9e-14,0.002,"APOBEC3G,APOC3,ATG9A,ATP6AP2,BAX,C4A/C4B,CAST,CD14,CD44,CD82,CDK6,CEBPB,CHI3L1,CMPK2,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DDX60L,DNMT1,EIF2AK2,ENG,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GPNMB,HERC5,HK2,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,KAT2B,KHSRP,KRT10,MMP2,MX1,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB2,NPM1,NT5E,OAS1,OAS2,OAS3,OASL,PEA15,PLAU,PLG,PML,PNPT1,POSTN,PRPF4,PSIP1,PTPN2,RCC1,RHOC,RSAD2,S100A4,S100A8,SAMD9,SLC2A1,SOD1,STAT1,STAT2,TAP1,TGFB1,THBS1,TPM1,TRIM21,UBE2L6,VIM,WTAP",92 (8),8,24hr_PROT_causal_unique,True,True
101,NCF1,1.558,enzyme,"ATF1,ATM,CAMK4,CHEK1,CREB1,DNA-PK,E2f,ELF4,ERK1/2,FANCD2,IKBKB,IKBKG,Jnk,LAMTOR5,MAP3K5,MAPK1,MAPK12,MAPK8,MDM4,NCF1,NFkB (complex),P38 MAPK,RB1,SMC3,TP53,VCP,ZEB1",3,Activated,2.685,2.46e-14,0.018,"ABCC1,AK1,ARRB1,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD36,CD44,CD55,CD82,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,GOLGA2,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,MAD1L1,MANF,MGST2,MIF,MT1G,MVP,MX2,NAMPT,NDRG1,NDUFS8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PLAU,PLG,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RPS27L,RRAD,S100A4,SAR1A,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,TMSB10/TMSB4X,TPX2,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,YWHAH,YWHAZ",142 (27),25,24hr_PROT_causal_unique,True,
102,IL5, ,cytokine,"Akt,ERK1/2,IL5,JAK2,Mapk,MAPK1,STAT5a/b",2,Inhibited,-4.388,2.77e-14,0.0003,"APOC3,ARRB1,AURKA,B2M,C3,CCL4,CD36,CD44,CDC123,CDKN2C,CEBPA,CLEC11A,CTSC,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MMP9,MVP,MX2,NACA,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLG,PML,PSME2,RAB4B,RBM3,RFTN1,SET,SLC1A5,SOD1,SPRY2,STAT1,STAT2,STIP1,TAP1,TAP2,TAPBP,TPM4,TRIM21,TRIM25,UBE2I,UBE2L6,UPP1,UTP18,VIM,WTAP",79 (7),7,24hr_PROT_causal_unique,True,
104,Igm, ,complex,"Akt,ERK,ERK1/2,Igm,MAP2K1,MAPK1,P38 MAPK,PHB,PI3K (family),TERT",2,Inhibited,-4.5,2.9e-14,0.0003,"ARRB1,AURKA,B2M,BAX,C3,CD36,CD44,CD55,CD82,CEBPA,CLEC11A,COL1A1,CTSD,DDX58,DNMT1,EHD1,ERAP1,ERP29,EZR,FDPS,FN1,GBP1,GDF15,GOLGA2,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUND,LAP3,LGALS3,MAP4K4,MIF,MKI67,MVP,MX2,NDRG1,NDUFB8,NFKB1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PEA15,PLG,PML,POSTN,PREX1,PSME2,PXN,RAB4B,RELA,SLC2A1,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,TRADD,TREM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",83 (10),10,24hr_PROT_causal_unique,True,
107,ADAM17,-0.114,peptidase,"ADAM17,Akt,AKT1,EGFR,ERK1/2,MAPK1,SHC1",2,Inhibited,-3.3539999999999996,3.3e-14,0.0002,"ARRB1,AURKA,B2M,BAX,C3,CCL4,CD44,CEBPA,CHI3L1,CLEC11A,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FLI1,FN1,FOSL1,GSTP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGB2,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MMP9,MVP,MX2,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RAB4B,RELA,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAP2,TAPBP,TGM2,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP",80 (7),6,24hr_PROT_causal_unique,True,
108,FOXO1, ,transcription regulator,"Akt,AR,CCND1,CDKN1A,CEBPA,CREB1,EGFR,ERK1/2,ESR1,EZH2,FOSL1,FOXO1,Hsp27,IRF3,IRS1,JUN,MAPK1,MAPK9,MED1,Mek,MMP12,NFE2L2,NR4A1,NRF1,PDGFRA,PHB2,SMAD3,STAT1,STING1,YBX1",3,Activated,2.454,3.33e-14,0.0493,"A2M,ACSL1,AHNAK,ALB,ANO10,APOBEC3G,APOC3,ARPC5L,ARRB1,ASS1,B2M,BABAM2,BAX,BCAS3,BCLAF1,BUB1B,C11orf58,C3,C4A/C4B,CAST,CCL4,CDK1,CEBPA,CEBPB,CLEC11A,CLGN,CLTC,COX4I1,CP,CSF1R,CTSD,CTSS,DAB2,DDX58,DDX60,DEGS1,DHCR24,DHCR7,DNAJC21,DR1,EDF1,EEF1B2,EFEMP1,EIF2AK2,EIF4E,ENY2,ERMP1,ERP29,EZR,FOSL1,G3BP1,GBP2,GBP4,GDF15,GLB1,GOT1,H1-10,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGN2,HNRNPD,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,INIP,IRF5,IRF8,ISG15,ITGB5,ITIH2,JUN,JUND,LAP3,LASP1,LGALS1,LMAN1,LMNA,LPL,LSM3,LTF,MAD1L1,MARCKS,METAP2,MKI67,MMP9,MSMO1,MVP,MX2,NAP1L1,NCOA7,NDUFB8,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PDCD4,PDIA3,PEA15,PGD,PGLS,PHGDH,PLG,PLIN2,PML,POSTN,PPIA,PPP3CB,PSAT1,PSEN1,PSMA5,PSMB3,PSMB7,PSMD3,PSMD4,PSME2,PSME3,RAB4B,RABGAP1L,RBL2,RELA,RMDN3,RPL13,RPL27A,RSAD2,RUNX1,S100A9,SAMD9,SCPEP1,SEC61B,SERPINF1,SFPQ,SLC7A11,SPRY2,STAT2,STMN1,TACC1,TANK,TAP1,TAP2,TAPBP,TFB2M,TGFB1,THBD,THBS1,TKT,TPI1,TPX2,TREM2,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZYX",170 (30),30,24hr_PROT_causal_unique,True,
109,LIG1, ,enzyme,"ATM,CDK1,CHEK1,CHEK2,CREB1,DNA-PK,E2f,ELF4,ERK1/2,FANCD2,H2AX,IKBKB,IKBKG,LAMTOR5,LIG1,MAPK1,MAPK12,MDM4,NFkB (complex),RB1,SIAH2,SMC3,TP53,VCP,ZEB1",3,Inhibited,-3.161,3.45e-14,0.0147,"ABCC1,AK1,ARRB1,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RPS27L,RRAD,S100A4,SAR1A,SLC2A1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,YWHAH",137 (25),23,24hr_PROT_causal_unique,True,
110,PRNP, ,other,"ERK1/2,MAPK1,PRNP",2,Inhibited,-4.75,3.93e-14,0.0001,"ABCB1,ARRB1,AURKA,B2M,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,DAB2,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,RAB4B,RELA,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",64 (3),3,24hr_PROT_causal_unique,True,
112,PIP5K1C, ,kinase,"Akt,AKT1,EGFR,EGR1,ERBB3,ERK,ERK1/2,EZH2,FOXO1,FOXO3,HBEGF,HDAC6,HIF1A,IRF3,Jnk,MAP2K1/2,Mapk,MAPK1,MET,MMP12,MMP9,MTOR,NR4A1,NRF1,P38 MAPK,PARP1,PDGFRA,PGR,PHB2,PIP5K1C,PRKAA,RB1,RELA,RHOA,RPS6KB1,SGK1,SHC1,SMAD3,SREBF2,STAT1,TAB1,WNK1,YBX1",3,Activated,2.105,4.27e-14,0.0295,"ACSL1,ACTB,APOC3,APOE,ARHGDIB,ARRB1,B2M,BABAM2,C4A/C4B,CARS1,CASP1,CD14,CD36,CD44,CD55,CDKN2C,CEBPA,CHI3L1,CLEC11A,CPT2,CTSS,DAB2,DDX58,DDX60,DHCR24,DOCK8,DPYSL2,DYNLL1,EFEMP1,EHD1,EIF2AK2,EIF4E,ERP29,EZR,FDPS,FHL1,FLI1,FOSL1,GBP1,GBP2,GBP4,GLUL,GOLGA2,GSTP1,H2AX,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMGB2,HSPB1,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KRT10,LAP3,MAP4K4,MBD2,MIF,MKI67,MMP2,MMP9,MVP,MX1,MX2,NCOA7,NRP1,NUCKS1,NUDCD2,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDLIM1,PEA15,PFDN1,PFKP,PHGDH,PLAU,PLG,PML,POSTN,PPIA,PSMB3,PSMB7,PSMD3,PSME2,PSME3,PTPN1,RAB4B,RBL2,RELA,RGS1,RHOC,RSAD2,RUNX1,S100A4,S100A8,SERPINE2,SLC7A11,SOD1,SPRY2,SRC,SRSF1,STAT2,STMN1,TAP2,TAPBP,TFRC,TGFBI,TGM2,THBS1,TK1,TMOD3,TMSB10/TMSB4X,TRADD,TRIM21,TRIM25,TXN,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZFP91,ZYX",141 (43),41,24hr_PROT_causal_unique,True,
113,P2RY2, ,G-protein coupled receptor,"Akt,Ap1,ATF2,CEBPA,CHEK1,DYRK1B,ELK1,ERK1/2,EZH2,FOSL1,FOXO1,FOXO3,GSK3B,IRF3,JUN,MED1,MMP12,MMP2,MYC,NFAT5,NR4A1,NRF1,P2RY2,PDGFRA,PHB2,Rac,RAC1,RB1,RHOA,RHOC,ROCK,SRC (family),SREBF2,STAT1,YBX1",3,Inhibited,-2.952,4.47e-14,0.0074,"A2M,ABCC1,ACSL1,ACTB,ALB,ALCAM,APOBEC3G,ARRB1,ASNS,ATP2A2,B2M,BABAM2,BAG1,BCOR,BZW2,C3,C4A/C4B,CCL4,CD14,CD36,CD82,CDK1,CDK6,CEBPA,CEBPB,CLEC11A,CLTC,COX5A,CP,CTSS,DAB2,DDX58,DDX60,EDF1,EFEMP1,EHD1,EIF4E,ERMP1,EZR,FDPS,FN1,GBP2,GBP4,GDF15,GLUL,GOT1,GTF2B,H1-10,H2AX,HK2,HLA-A,HLA-B,HLA-E,HSPB1,HYOU1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGLL1/IGLL5,IL1RN,IPO7,IRF5,IRF8,ISG15,ITGB5,JUN,JUND,KRT10,LTF,MAD1L1,MMP9,MX1,MX2,NCOA7,NDUFB8,NOP16,NRP1,NUDT1,OAS1,OAS2,OASL,PDCD4,PEA15,PFKP,PLG,POLDIP3,POLR2D,PPP3CB,PSMB7,PSMD3,PSME3,RAB4B,RABGAP1L,RBL2,RCC1,RHOC,RPL11,RPS7,RSAD2,RUNX1,S100A4,S100A9,SCPEP1,SERPINE2,SERPINF1,SLC7A11,SOD1,SPRY2,SUMO1,SUMO2,SUMO3,TANK,TAP1,TAP2,TAPBP,TGFB1,THBD,TRIM21,TXN,UBE2I,VTN,WTAP",125 (35),34,24hr_PROT_causal_unique,True,
118,ECSIT,0.452,transcription regulator,"AMPK,Ap1,ATF2,CDK1,CHUK,ECSIT,EGFR,IKBKB,IRF3,Jnk,MAP3K7,MAPK9,NFAT (complex),NFkB (complex),NFKB1,P38 MAPK,RELA,RHOA,SREBF1",3,Activated,2.289,5.87e-14,0.0066,"ABCB1,AIF1,APOBEC3F,ARF4,ARHGDIB,ASNS,ATP6AP2,C3,CAP2,CCL4,CD14,CD36,CD44,CD55,CD82,CEBPB,CHI3L1,COX4I1,CYCS,CYP51A1,DDX58,DNMT1,DOCK8,EIF4E,ERAP1,FABP5,FDPS,FN1,GBP1,GBP2,GLB1,GOLGA2,GPNMB,H2AX,HERC5,HK2,HLA-F,HMGN2,HMOX1,IFI16,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IL1RN,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KHSRP,KYNU,LMNA,LPL,LSM3,METAP2,MIF,MMP2,MMP9,MTA1,NAMPT,NCF1,NDUFB8,NFATC2,NFKB1,NFKB2,OAS1,OAS2,OASL,PARP14,PDIA3,PLAU,PLG,PLIN2,POSTN,PPIA,PSMB3,PSMB7,PXN,RELA,RGS1,RHOC,RNASET2,RSAD2,S100A4,SAR1A,SLC7A11,SRSF1,STAT1,TAP1,TDO2,TGFB1,TGM2,TK1,TMSB10/TMSB4X,TRADD,TRAF1,ZFP91",101 (19),19,24hr_PROT_causal_unique,True,
120,RXRG,-1.030,ligand-dependent nuclear receptor,"ATM,CDK1,CHEK1,CHEK2,CREB1,DNA-PK,E2f,ELF4,ERK1/2,FANCD2,H2AX,IKBKB,IKBKG,LAMTOR5,MAPK1,MAPK12,MDM4,NFkB (complex),RB1,RXRG,SIAH2,SMC3,TP53,VCP,ZEB1",3,Activated,3.161,6.48e-14,0.0208,"ABCC1,AK1,ARRB1,B2M,BAX,BID,BUB1B,C3,CASP1,CBX1,CCL4,CD44,CDK1,CEBPA,CES2,CLEC11A,COL1A1,COL1A2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,EIF4E,ENG,ERAP1,ERP29,EZR,FABP5,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,H2AX,HERC5,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-E,HLA-F,HMGB1,HMGN2,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,JUN,JUND,KRT10,KYNU,LAP3,MAD1L1,MANF,MGST2,MT1G,MVP,MX2,NAMPT,NCOR1,NDRG1,NDUFS8,NFKB1,NFKB2,NRP1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,P4HB,PARP12,PFKP,PHGDH,PLAU,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSEN1,PSME2,PTPN6,PXN,RAB4B,RAD23A,RALY,RBL2,RPS27L,RRAD,S100A4,SAR1A,SLC2A1,SOD1,SPRY2,SRC,SSBP1,ST14,STAT1,STAT2,STMN1,TAF7,TAGLN2,TANK,TAP2,TAPBP,TDO2,TFRC,TGFBI,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,YWHAH",137 (25),23,24hr_PROT_causal_unique,True,
126,IFNL1, ,cytokine,IFNL1,1,Activated,5.196000000000001,8.97e-14,0.0001,"CMPK2,DDX58,DDX60,DDX60L,EIF2AK2,GBP1,HERC5,HLA-B,HLA-C,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,MX1,OAS1,OAS2,OAS3,OASL,PML,RSAD2,SAMD9,STAT1,STAT2,UBE2L6",27 (1),1,24hr_PROT_causal_unique,True,True
129,CXCL8,0.050,cytokine,"Akt,Calcineurin protein(s),CXCL8,EGFR,ERK1/2,ITGB2,MAPK1,MMP2,PAK1,Pkc(s),RELA,SRC",2,Inhibited,-2.592,9.63e-14,0.0019,"ABCB1,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,CCL4,CD44,CEBPA,CHI3L1,CLEC11A,CPT1A,DDX58,DNMT1,DOCK8,EHD1,EIF2AK2,ERP29,EZR,FOSL1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IL1RN,IRF2BP2,ISG15,JUN,JUND,LAP3,MAD1L1,MKI67,MMP2,MMP9,MVP,MX2,MYO1E,NAMPT,NDUFB8,NFATC2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RAB4B,RELA,RGS1,SLC2A1,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,TMSB10/TMSB4X,TPM1,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP,ZFP91",93 (12),12,24hr_PROT_causal_unique,True,
130,TPSD1, ,peptidase,"MAPK1,MAPK14,MAPK8,MAPK9,TPSD1",2,Inhibited,-4.811,9.89e-14,0.0001,"AURKA,BAX,DAB2,DDX58,EFEMP1,EHD1,EIF2AK2,EIF4E,ERAP1,ERP29,FN1,GBP1,HERC5,HLA-B,HLA-C,HLA-E,HMGN2,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,LAP3,LMNA,LPL,LSM3,METAP2,MKI67,MMP9,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PARP14,PDIA3,PLIN2,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM",56 (5),4,24hr_PROT_causal_unique,True,
131,Growth hormone, ,group,"Akt,AKT1,CAT,ERK,ERK1/2,Growth hormone,JAK1,JAK2,Mapk,MAPK1,NFkB (complex),P38 MAPK,RAC1,RHOA,STAT1,STAT3,STAT5a/b,TP63",3,Activated,4.066,1.05e-13,0.0427,"ABCB1,APOBEC3G,APOC3,ARRB1,ATG9A,ATP6AP2,AURKA,B2M,C3,C4A/C4B,CAST,CCL4,CD14,CD36,CD44,CD55,CDK6,CDKN2C,CEBPA,CHI3L1,CLEC11A,COL1A1,CPT2,CSTA,CTSS,DDX58,DDX60,DNMT1,EHD1,ENG,ERAP1,ERP29,EZR,FABP5,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GOLGA2,GPNMB,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUN,JUND,KAT2B,KHSRP,KRT10,KYNU,LAP3,MAP4K4,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS2,OAS3,OASL,PARP12,PEA15,PLAU,PLG,PML,PNPT1,PRPF4,PSIP1,PSME2,PTPN2,PXN,RAB4B,RCC1,RFTN1,RHOC,S100A4,S100A8,SAR1A,SET,SLC2A1,SOD1,SPRY2,STAT2,STIP1,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBS1,TPM1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP",128 (18),17,24hr_PROT_causal_unique,True,
