,Master Regulator,Expr Log Ratio,Molecule Type,Participating regulators,Depth,Predicted Activation,Notes,Activation z-score,p-value of overlap,Network bias-corrected p-value,Target Molecules in Dataset,Causal network,Target-connected regulators,sample,sig,overlap_upstreamreg
98,PTPRK, ,phosphatase,"AKT1,Ap1,CCND1,CCNE1,CDK2,CEBPB,Creb,EGFR,ERBB3,ERK,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,PTPRK,RELA,RUNX2,RXRA,SHC1,SP1,STAT3",3,Activated,biased,3.4739999999999998,1.24e-06,0.0481,"ACO1,AKT1,AKT2,CDK6,CDKN2C,DR1,EHD1,EIF4E,ENO1,ERBIN,FABP5,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IL1B,JAK1,JUN,KYNU,MARCKS,MYD88,NAMPT,NAT1,NFKB1,NIBAN2,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A4,SAR1A,SERPINB8,SERPINE2,SOD1,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM",56 (29),28,1hr_PROT_causal,True,
99,EDA, ,cytokine,"AKT1,Ap1,CCND1,CCNE1,CDK2,CEBPB,Creb,EDA,EGFR,ERBB3,ERK,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,RELA,RUNX2,RXRA,SHC1,SP1,STAT3",3,Inhibited,biased,-3.4739999999999998,1.27e-06,0.0489,"ACO1,AKT1,AKT2,CDK6,CDKN2C,DR1,EHD1,EIF4E,ENO1,ERBIN,FABP5,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IL1B,JAK1,JUN,KYNU,MARCKS,MYD88,NAMPT,NAT1,NFKB1,NIBAN2,NMI,NUDCD2,PARP12,PDLIM1,PLAU,PPIA,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A4,SAR1A,SERPINB8,SERPINE2,SOD1,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TXN,UBE2L6,VIM",56 (29),28,1hr_PROT_causal,True,
100,PELI3, ,enzyme,"Akt,Ap1,AR,CEBPA,Creb,EGFR,ERK1/2,estrogen receptor,FOXO1,HIF1A,IKK (complex),IRF3,Jnk,MAP3K7,MAPK14,MAPK9,NFAT (complex),NFkB (complex),NFKBIA,P38 MAPK,PELI3,RELA,RPS6KB1,SHC1,SP1,SREBF1,TAB1,TP53,YAP1",3,Activated,biased,2.898,1.29e-06,0.0499,"ACO1,AIF1,AK1,AKR1B1,AKT1,AKT2,ARF4,BID,CAP2,CAST,CDK6,CLGN,DAB2,DHCR7,DR1,EHD1,EIF4E,FABP5,FBXO22,FHL1,FKBP4,FLI1,FSCN1,GDI1,GPNMB,GSTP1,HINT1,ICAM1,IFIT2,IREB2,KYNU,NAMPT,NFKB1,NME1,NUDCD2,PEA15,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPN11,PTPN6,PTPRE,PYCARD,RSAD2,S100A4,S100A9,SAR1A,SERPINB1,SF3B4,SPC25,SREBF2,TAGLN2,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TRAF1,TXN,XPO1",63 (29),25,1hr_PROT_causal,True,
101,ID1, ,transcription regulator,"Akt,AKT1,Ap1,EGFR,ERBB3,ERK1/2,estrogen receptor,FOSL1,HDAC6,HIF1A,ID1,ITGB4,MAP2K1/2,Mapk,MAPK1,MED1,MMP9,MTOR,NFkB (complex),P38 MAPK,PARP1,PGR,RB1,RPS6KB1,SHC1",3,Inhibited, ,-2.263,1.45e-06,0.0217,"ACO1,AKT1,AKT2,CDKN2C,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FN1,GCLM,GPX4,GSTM3,GSTP1,ICAM1,IFIT2,IRF8,JAK1,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PPP3CB,PRKAR1A,PSMB3,PSMB7,PSMB9,RSAD2,S100A4,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,SREBF2,TGM2,TNFAIP3,TRADD,TXN,UBE2L6,VIM",50 (25),25,1hr_PROT_causal,True,
103,EGFR, ,kinase,"Akt,AKT1,CTNNB1,EGFR,ERBB3,HDAC6,HIF1A,ITGB4,JUN,MAP2K1/2,Mapk,MAPK1,MMP9,NFkB (complex),P38 MAPK,PARP1,PGR,SHC1,SP1,STAT3",2,Inhibited,biased,-3.286,1.58e-06,0.0208,"ACO1,AKT1,CDKN2C,EHD1,EIF4E,FABP4,FABP5,FHL1,FLI1,FSCN1,GCLM,GPX4,GSTM3,GSTP1,HINT1,ICAM1,IFIT2,JAK1,JUN,KYNU,MYD88,NAMPT,NAT1,NFKB1,NMI,NUDCD2,PARP12,PDLIM1,PEA15,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PTPN2,PTPRE,RSAD2,S100A8,SAR1A,SERPINB8,SERPINE2,SOD1,TGM2,TNFAIP3,TRADD,TRAF1,TXN,UBE2L6,VIM",49 (20),20,1hr_PROT_causal,True,
104,CHRNA7, ,transmembrane receptor,"Akt,ATF6,CEBPB,CHEK2,CHRNA7,EGFR,FOXO1,FOXO3,Hsp27,JUN,LIN28A,MAPK3,MYC,NFkB (complex),NR3C1,NRF1,P38 MAPK,PDGFRA,PGR,PHB2,PPARGC1A,RELA,STAT3,TP63,YAP1",3,Activated, ,2.177,1.58e-06,0.0302,"ADH5,AKT1,ATG9A,BAG1,CAST,CBR1,CSTA,DAB2,EHD1,EIF4E,FABP4,FABP5,FN1,GBA,GPNMB,GSTM3,HNRNPF,ICAM1,IFIT2,IL1B,IQGAP2,JUN,KYNU,MAPK7,MYD88,NAMPT,NFKB1,PDLIM1,PEA15,PLAU,PPIA,PREP,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RAN,RSAD2,SAE1,SAR1A,SERPINB8,SERPINB9,SERPINE2,SOD1,SPC25,SUMO2,SUMO3,TMSB10/TMSB4X,TPM1,TRADD,TXN,XPO1",54 (25),23,1hr_PROT_causal,True,
106,CYBB,-0.185,enzyme,"Akt,AR,ATF6,CEBPB,CYBB,EGFR,ERK,ERK1/2,GLI1,Hsp27,IKBKB,MMP9,MTOR,NFkB (complex),NR3C1,P38 MAPK,PGR,PPARGC1A,RAP1A,RELA,SP1,TP63,TP73,YAP1",3,Inhibited,biased,-2.898,1.98e-06,0.0499,"ADK,ATAD2,ATG9A,BID,CAST,CBR1,CLGN,CNTRL,CSTA,DHCR7,DR1,EFHD2,EHD1,ELOB,FABP4,FABP5,FHL1,FKBP4,FN1,FSCN1,GBA,GDI1,GPNMB,GSTM3,HINT1,ICAM1,IL1B,IQGAP2,JUN,KYNU,MAPK7,MSI2,NAMPT,NFKB1,NPEPL1,NRGN,OGFRL1,PDLIM1,PEA15,PPIA,PRKAR1A,PRMT1,PSMB3,PSMB7,PTPN2,PTPRE,RAN,RBM8A,RSAD2,S100A9,SAR1A,SCD,SERPINB8,SERPINB9,SERPINE2,SOD1,SREBF2,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRADD,TRAF1",63 (24),22,1hr_PROT_causal,True,
107,CUL4B,-0.269,other,"CUL4B,MYC",2,Activated,biased,3.3,2.15e-06,0.0005,"AKT1,BAG1,EIF4E,GLO1,IFIT2,IQGAP2,MYD88,NME1,PLAU,PREP,RSAD2,SAE1,SERPINE2,SOD1,SUMO2,SUMO3,TPM3,XPO1",18 (2),2,1hr_PROT_causal,True,
110,S100A6,-0.243,transporter,"Akt,Ap1,AR,ELK1,FOXO1,Jnk,JUN,NFkB (complex),RPS6KB1,S100A6,SHC1,SMAD2,SP1,STAT6,TP53,YAP1",3,Inhibited,biased,-3.464,3.08e-06,0.0292,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP3CB,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM4,TRAF1,TXN,VIM,XPO1",48 (16),16,1hr_PROT_causal,True,
112,MAPKAPK2,-0.194,kinase,"ADAM17,Akt,AKT1,ATM,EGFR,ERK1/2,H2AX,MAPK1,MAPKAPK2,MMP2,MMP9,NFkB (complex),PLAU,SHC1,STAT3,TP53",3,Inhibited,biased,-3.355,3.21e-06,0.0245,"ACO1,ADH5,AK1,AKT1,BID,EHD1,FABP5,FBXO22,FLI1,FSCN1,GCLM,GSTP1,ICAM1,IFIT2,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,NMI,PARP12,PEA15,PLAU,PPIA,PPP4C,PRKAR1A,PSMB3,PSMB7,PTPN11,PTPN2,PTPN6,PTPRE,PYCARD,S100A4,SAR1A,SERPINE2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,UBE2L6,VIM,XPO1",47 (16),13,1hr_PROT_causal,True,
115,FANCC, ,other,"ATM,EIF2AK2,FANCC,NFkB (complex)",2,Activated,biased,2.3569999999999998,4.24e-06,0.0034,"ADH5,AKT2,FABP5,FN1,ICAM1,IL1B,JUN,KYNU,NAMPT,NFKB1,NMI,PARP12,PLAU,PSMB9,SAR1A,TGM2,TNFAIP3,UBE2L6",18 (4),4,1hr_PROT_causal,True,
116,VCP,-0.210,enzyme,"MYC,NFkB (complex),VCP",2,Inhibited,biased,-3.545,4.33e-06,0.004,"AKT1,BAG1,EIF4E,FABP5,ICAM1,IFIT2,IL1B,IQGAP2,KYNU,MYD88,NAMPT,NFKB1,PREP,PSMB9,RSAD2,SAE1,SAR1A,SERPINE2,SUMO2,SUMO3,TGM2,TNFAIP3,XPO1",23 (3),2,1hr_PROT_causal,True,
118,SIAH1, ,enzyme,"Akt,Ap1,AR,ELK1,FOXO1,Jnk,JUN,MAP2K1,NFkB (complex),PKD1,RPS6KB1,SHC1,SIAH1,SMAD2,SP1,STAT6,TP53,YAP1",3,Inhibited,biased,-3.938,5.14e-06,0.0365,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TREM2,TXN,VIM,XPO1",47 (18),16,1hr_PROT_causal,True,
119,RANBP2,-0.203,enzyme,"Akt,Ap1,AR,ELK1,FOXO1,Jnk,JUN,MAP2K7,NFkB (complex),RANBP2,RPS6KB1,SHC1,SMAD2,SP1,STAT6,TP53,YAP1",3,Activated,biased,3.938,5.4e-06,0.0413,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,VIM,XPO1",47 (17),16,1hr_PROT_causal,True,
122,TRIM23, ,enzyme,"CD247,IKBKB,IKBKG,IRF3,NFkB (complex),TRIM23",3,Activated,biased,2.668,5.44e-06,0.0028,"FABP5,FCER1G,FN1,FSCN1,ICAM1,IFIT2,IL1B,KYNU,NAMPT,NFKB1,PLAU,PSMB9,RSAD2,SAR1A,TGM2,TNFAIP3,VIM",17 (6),4,1hr_PROT_causal,True,
124,MAP3K7, ,kinase,"Ap1,CHUK,EGFR,IKBKB,IRF3,Jnk,MAP3K7,MAPK9,MAPKAPK2,NFAT (complex),NFkB (complex),NFKB1,P38 MAPK,RELA,SREBF1",2,Inhibited,biased,-2.121,5.55e-06,0.0152,"AIF1,AKT1,ARF4,CAP2,EIF4E,FABP4,FABP5,FSCN1,GPNMB,ICAM1,IFIT2,IL1B,JUN,KYNU,NAMPT,NFKB1,PLAU,PPIA,PRKAR1A,PSMB3,PSMB7,PSMB9,PTPRE,RSAD2,S100A4,SAR1A,SF3B4,TGM2,TMSB10/TMSB4X,TNFAIP3,TRADD,TRAF1",32 (15),15,1hr_PROT_causal,True,
128,RNASEL,-0.091,enzyme,"Akt,Ap1,AR,BCL2,EIF2AK2,FOXO1,IRF3,Jnk,PARP1,RNASEL,RPS6KB1,SHC1,SP1,STAT3,STAT6,TP53,YAP1",3,Inhibited,biased,-3.938,6.87e-06,0.0369,"ACO1,AK1,AKT1,AKT2,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FBXO22,FKBP4,FLI1,FSCN1,GDI1,GSTP1,HINT1,ICAM1,IFIT2,IL1B,IREB2,JUN,NAT1,NME1,NMI,PARP12,PEA15,PPP4C,PTPN11,PTPN2,PTPN6,PYCARD,RSAD2,S100A4,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,UBE2L6,XPO1",47 (17),15,1hr_PROT_causal,True,
129,PPP2R2C, ,phosphatase,"AKT1,Ap1,CCND1,CDK2,CEBPB,Creb,ERK,MYC,NFkB (complex),NOS2,PP2A,PPARG,PPP2R2C,RELA,RUNX2,RXRA,SMARCA4,STAT3,STAT5a/b",3,Activated,biased,4.23,7.03e-06,0.0484,"ABRACL,AKT1,ATG9A,BAG1,CDK6,CDKN2C,CFP,CLDND1,CP,DR1,EIF4E,ENO1,ERBIN,FABP4,FABP5,FSCN1,GCLM,GSTO1,GSTP1,ICAM1,IL1B,IQGAP2,JUN,KYNU,LPXN,MARCKS,MTRES1,MYD88,NAMPT,NIBAN2,PREP,PRMT1,PTPN2,RSAD2,S100A4,S100A8,SAE1,SAR1A,SERPINB8,SUMO2,SUMO3,TGM2,TMSB10/TMSB4X,TNFAIP3,TPM1,TRAF1,XPO1",47 (19),17,1hr_PROT_causal,True,
133,CCN5, ,growth factor,"Akt,Ap1,AR,CCN5,ELK1,FOXO1,Jnk,JUN,NFkB (complex),RPS6KB1,SHC1,SP1,STAT6,TP53,YAP1",3,Activated,biased,3.647,7.38e-06,0.0495,"ACO1,AK1,AKT1,BID,CAST,CDK6,CLGN,DHCR7,DR1,EHD1,FABP4,FABP5,FBXO22,FKBP4,FLI1,FN1,GDI1,GSTP1,HINT1,ICAM1,IL1B,IREB2,JUN,KYNU,NAMPT,NFKB1,NME1,PEA15,PLAU,PPP4C,PSMB9,PTPN11,PTPN6,PYCARD,S100A4,SAR1A,SPC25,SREBF2,TAGLN2,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,TRAF1,TXN,VIM,XPO1",47 (15),15,1hr_PROT_causal,True,
136,Rab5, ,group,"Akt,AKT1,Ap1,CEBPA,Creb,ERK1/2,FOSL1,Gsk3,MED1,MTORC1,MYC,Rab5,Rac,RELA,SP1,SREBF1,STAT3",3,Inhibited,biased,-3.5069999999999997,8.72e-06,0.0338,"AKR1B1,AKT1,ARF4,BAG1,CAP2,EHD1,EIF4E,FN1,FSCN1,GCLM,GPNMB,HINT1,ICAM1,IFIT2,IL1B,IQGAP2,IRF8,JUN,MYD88,NAMPT,NFKB1,PEA15,PLAU,PPP3CB,PREP,PSMB9,PTPN2,PTPRE,RSAD2,S100A4,S100A9,SAE1,SCD,SERPINB1,SERPINE2,SUMO2,SUMO3,TANK,TGM2,TMSB10/TMSB4X,TNFAIP3,VIM,XPO1",43 (17),14,1hr_PROT_causal,True,
139,Pkg, ,group,"ERK1/2,MYC,Pkg",2,Inhibited,biased,-3.273,9.91e-06,0.0056,"AKT1,BAG1,EIF4E,FN1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,MYD88,PLAU,PREP,PSMB9,PTPRE,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,TXN,XPO1",21 (3),3,1hr_PROT_causal,True,
141,STK38, ,kinase,"ERK1/2,MYC,P38 MAPK,RELA,STK38,YAP1",2,Inhibited,biased,-3.0239999999999996,1.2e-05,0.0171,"AKT1,BAG1,CDK6,EHD1,EIF4E,FABP4,ICAM1,IFIT2,IL1B,IQGAP2,JUN,MYD88,NAMPT,NFKB1,PLAU,PREP,PSMB9,PTPRE,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,TGM2,TMSB10/TMSB4X,TRADD,TRAF1,XPO1",28 (6),5,1hr_PROT_causal,True,
145,SFN, ,other,"Akt,CDK2,CHEK2,MYC,Nr1h,NR3C1,RB1,SFN,SMARCA4,TP73",3,Activated,biased,3.6830000000000003,1.6899999999999997e-05,0.0428,"ABRACL,ADH5,AKT1,ATG9A,BAG1,BID,CBR1,CFP,CLDND1,CP,EIF4E,ELOB,FN1,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MAPK7,MTRES1,MYD88,NFKB1,NRGN,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SERPINB9,SUMO2,SUMO3,TNFAIP3,VIM,XPO1",39 (10),10,1hr_PROT_causal,True,
146,CHRNA7, ,transmembrane receptor,"Akt,CHRNA7,MYC,P38 MAPK",2,Activated,biased,2.1319999999999997,1.8100000000000003e-05,0.0107,"AKT1,BAG1,EIF4E,FABP4,FN1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,MYD88,NFKB1,PEA15,PLAU,PREP,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,TRADD,XPO1",22 (4),3,1hr_PROT_causal,True,
151,IL1RN,-0.575,cytokine,"IFNG,IL1RN,NFkB (complex)",2,Activated,biased,2.449,2.58e-05,0.0177,"AIF1,CGAS,CP,FABP5,FCER1G,ICAM1,IFIT2,IL1B,IRF8,KYNU,MYD88,NAMPT,NFKB1,NMI,PLAU,PSMB9,RIPK2,RSAD2,SAMD9,SAR1A,SERPINB9,TGM2,TNFAIP3,VIM",24 (3),3,1hr_PROT_causal,True,
152,KLF4, ,transcription regulator,"Akt,CDK2,DNA-methyltransferase,KLF4,MYC,ODC1,RB1,SMARCA4",3,Activated,biased,3.536,2.8800000000000002e-05,0.0314,"ABRACL,AKT1,ATG9A,BAG1,CFP,CLDND1,CP,EIF4E,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MTRES1,MYD88,NFKB1,PDLIM2,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SUMO2,SUMO3,TNFAIP3,VIM,XPO1",32 (8),7,1hr_PROT_causal,True,
153,CCNE1, ,transcription regulator,"Akt,CCNE1,CDK2,MYC,RB1,SMARCA4",3,Inhibited,biased,-4.131,2.94e-05,0.0268,"ABRACL,AKT1,AKT2,ATG9A,BAG1,CFP,CLDND1,CP,EIF4E,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MTRES1,MYD88,NFKB1,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SUMO2,SUMO3,TNFAIP3,XPO1",31 (6),6,1hr_PROT_causal,True,
154,CDC25A, ,phosphatase,"Akt,CCNE1,CDC25A,CDK2,MYC,RB1,SMARCA4",3,Inhibited,biased,-4.131,3.0299999999999998e-05,0.0271,"ABRACL,AKT1,AKT2,ATG9A,BAG1,CFP,CLDND1,CP,EIF4E,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MTRES1,MYD88,NFKB1,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SUMO2,SUMO3,TNFAIP3,XPO1",31 (7),6,1hr_PROT_causal,True,
161,caspase, ,group,"caspase,EIF2AK2,NFkB (complex)",2,Inhibited,biased,-2.5,3.79e-05,0.0126,"AKT2,FABP5,ICAM1,IL1B,JUN,KYNU,NAMPT,NFKB1,NMI,PARP12,PLAU,PSMB9,SAR1A,TGM2,TNFAIP3,UBE2L6",16 (3),2,1hr_PROT_causal,True,
162,Tnf receptor, ,group,"Ap1,EIF2AK2,MAPK8,NFkB (complex),Tnf receptor",2,Inhibited,biased,-2.668,4.02e-05,0.0142,"AKT2,FABP5,ICAM1,IL1B,JUN,KYNU,NAMPT,NFKB1,NMI,PARP12,PLAU,PSMB9,S100A4,SAR1A,TGM2,TNFAIP3,UBE2L6",17 (5),4,1hr_PROT_causal,True,
164,ROCK, ,group,"Creb,ERK1/2,MYC,ROCK",2,Inhibited,biased,-3.273,4.33e-05,0.0178,"AKT1,BAG1,EIF4E,FN1,FSCN1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,MYD88,PLAU,PREP,PSMB9,PTPRE,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,XPO1",21 (4),3,1hr_PROT_causal,True,
168,CDK2, ,kinase,"Akt,CDK2,MYC,RB1,SMARCA4",2,Inhibited,biased,-4.0169999999999995,7.159999999999999e-05,0.0451,"ABRACL,AKT1,ATG9A,BAG1,CFP,CLDND1,CP,EIF4E,GSTO1,GSTP1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,LPXN,MTRES1,MYD88,NFKB1,PEA15,PLAU,PREP,PSMB9,RSAD2,SAE1,SERPINB8,SUMO2,SUMO3,TNFAIP3,XPO1",30 (5),5,1hr_PROT_causal,True,
172,miR-145-5p (and other miRNAs w/seed UCCAGUU), ,mature microRNA,miR-145-5p (and other miRNAs w/seed UCCAGUU),1,Activated,biased,2.449,8.190000000000001e-05,0.0007,"ABRACL,EIF4E,FLI1,FSCN1,SWAP70,TPM3",6 (1),1,1hr_PROT_causal,True,True
175,mir-185, ,microRNA,"HMGCR,mir-185,MYC,YAP1",3,Activated,biased,2.3569999999999998,8.859999999999999e-05,0.0088,"AKT1,BAG1,CDK6,EHD1,EIF4E,IFIT2,IL1B,IQGAP2,MYD88,PLAU,PREP,RSAD2,SAE1,SERPINE2,SREBF2,SUMO2,SUMO3,XPO1",18 (4),3,1hr_PROT_causal,True,
177,ERG, ,transcription regulator,"ERG,MYC",2,Inhibited,biased,-2.3569999999999998,9.25e-05,0.0131,"AKT1,BAG1,EIF4E,EPB41L3,IFIT2,IQGAP2,MYD88,PLAU,PREP,PRKCI,RSAD2,RSU1,SAE1,SERPINE2,SUMO2,SUMO3,VIM,XPO1",18 (2),2,1hr_PROT_causal,True,
178,PIM1, ,kinase,"ERK1/2,MYC,PIM1,PRKAA",2,Inhibited,biased,-3.273,0.000101,0.0354,"AKT1,BAG1,EIF4E,FN1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,MYD88,PLAU,PREP,PSMB9,PTPRE,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,VIM,XPO1",21 (4),3,1hr_PROT_causal,True,
179,Rac, ,group,"Akt,ERK1/2,MYC,Rac",2,Inhibited,biased,-3.273,0.000109,0.0413,"AKT1,BAG1,EIF4E,FN1,ICAM1,IFIT2,IL1B,IQGAP2,JUN,MYD88,PEA15,PLAU,PREP,PSMB9,PTPRE,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,XPO1",21 (4),3,1hr_PROT_causal,True,
184,DOHH, ,enzyme,"DOHH,NFkB (complex)",2,Inhibited,biased,-2.496,0.000138,0.0204,"FABP5,ICAM1,IL1B,KYNU,NAMPT,NFKB1,NME1,PARK7,PLAU,PSMB9,SAR1A,TGM2,TNFAIP3",13 (2),2,1hr_PROT_causal,True,
187,FANCA, ,other,"ATM,EIF2AK2,FANCA,FANCD2,NFkB (complex)",2,Activated,biased,2.5,0.00015,0.026,"ADH5,AKT2,FABP5,FN1,IL1B,KYNU,NAMPT,NFKB1,NMI,PARP12,PLAU,PSMB9,SAR1A,SOD1,TNFAIP3,UBE2L6",16 (5),5,1hr_PROT_causal,True,
194,MYC, ,transcription regulator,MYC,1,Inhibited,biased,-2.673,0.000194,0.0098,"AKT1,BAG1,EIF4E,IFIT2,IQGAP2,MYD88,PLAU,PREP,RSAD2,SAE1,SERPINE2,SUMO2,SUMO3,XPO1",14 (1),1,1hr_PROT_causal,True,True
208,AKT1S1, ,other,"AKT1S1,NFkB (complex),RPS6KB1",2,Inhibited,biased,-2.309,0.00044,0.0436,"FABP5,ICAM1,IL1B,KYNU,NAMPT,NFKB1,PLAU,PSMB9,SAR1A,SREBF2,TGM2,TNFAIP3",12 (3),2,1hr_PROT_causal,True,
211,POU5F1, ,transcription regulator,"ATM,POU5F1",2,Inhibited,biased,-2.53,0.000558,0.0376,"ADH5,AKT1,BAG1,BID,BIRC6,FN1,PYCARD,RIPK2,TGM2,TNFAIP3",10 (2),2,1hr_PROT_causal,True,
219,NSUN6, ,enzyme,NSUN6,1,Inhibited,biased,-2.2359999999999998,0.00117,0.0125,"CDKN2C,DAB2,FSCN1,MARCKS,TGM2",5 (1),1,1hr_PROT_causal,True,True
221,CD40LG, ,cytokine,CD40LG,1,Inhibited,biased,-2.449,0.00132,0.041,"ICAM1,IL1B,NFKB1,PLEK,TANK,TNFAIP3",6 (1),1,1hr_PROT_causal,True,True
226,mir-21, ,microRNA,mir-21,1,Activated,biased,2.2359999999999998,0.00187,0.0169,"ARF4,CDK6,FN1,MYD88,TPM1",5 (1),1,1hr_PROT_causal,True,True
230,ATG5, ,other,ATG5,1,Inhibited,biased,-2.2359999999999998,0.00232,0.0109,"C1QBP,EIF5A,GABARAP,PDCD5,TGM2",5 (1),1,1hr_PROT_causal,True,True
232,LDL, ,complex,LDL,1,Inhibited,biased,-2.2359999999999998,0.00257,0.0405,"FABP4,IL1B,IRAK4,NAMPT,SREBF2",5 (1),1,1hr_PROT_causal,True,True
242,IKBKE, ,kinase,IKBKE,1,Inhibited,biased,-2.2359999999999998,0.0028399999999999996,0.0383,"PGM1,PGM2,PSAT1,PYGL,RPE",5 (1),1,1hr_PROT_causal,True,True
