© 2000-2021 QIAGEN. All rights reserved.

Master Regulator	Expr Log Ratio	Molecule Type	Participating regulators	Depth	Predicted Activation	Activation z-score	p-value of overlap	Network bias-corrected p-value	Target Molecules in Dataset	Causal network	Target-connected regulators
IGFBP3	-0.772	other	EGFR,ERK1/2,IGF1R,IGFBP3,MAPK1,P38 MAPK,PI3K (complex),RELA,SMAD3	2	Activated	3.198	7.65E-13	4.20E-03	APOC3,ARHGDIB,ARRB1,ATP6AP2,AURKA,B2M,C3,CD36,CD44,CD55,CD82,CEBPA,CHI3L1,CLEC11A,COL1A2,CTSD,DDX58,DNMT1,DOCK8,EHD1,EIF2AK2,ERP29,EZR,GBP1,GOLGA2,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IRF2BP2,ISG15,JUN,JUND,LAP3,LASP1,MIF,MKI67,MMP2,MVP,MX2,NAMPT,NDUFB8,NFATC2,NFKB1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RAB4B,RGS1,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP2,TAPBP,TMSB10/TMSB4X,TRADD,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,ZFP91,ZYX	88 (9)	9
MAP3K7	 	kinase	AMPK,Ap1,ATF2,CDK1,CHUK,EGFR,IKBKB,IRF3,Jnk,MAP3K7,MAPK9,NFAT (complex),NFkB (complex),NFKB1,P38 MAPK,RELA,RHOA,SREBF1	2	 	1.744	8.46E-13	1.36E-02	ABCB1,AIF1,APOBEC3F,ARF4,ARHGDIB,ASNS,ATP6AP2,C3,CAP2,CCL4,CD14,CD36,CD44,CD55,CD82,CEBPB,CHI3L1,COX4I1,CYCS,CYP51A1,DDX58,DNMT1,DOCK8,EIF4E,ERAP1,FABP5,FDPS,GBP1,GBP2,GLB1,GOLGA2,GPNMB,H2AX,HERC5,HK2,HLA-F,HMGN2,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IRF2BP2,IRF5,ISG15,ITGB5,JUN,JUND,KHSRP,KYNU,LMNA,LPL,LSM3,METAP2,MIF,MMP2,MTA1,NAMPT,NCF1,NDUFB8,NFATC2,NFKB1,NFKB2,OAS1,OAS2,OASL,PARP14,PDIA3,PLAU,PLG,PLIN2,POSTN,PPIA,PSMB3,PSMB7,PXN,RELA,RGS1,RHOC,RNASET2,RSAD2,S100A4,SAR1A,SLC7A11,SRSF1,STAT1,TAP1,TDO2,TGM2,TK1,TMSB10/TMSB4X,TRADD,TRAF1,ZFP91	95 (18)	18
ALK	 	kinase	Akt,ALK,CRKL,EGFR,EPHA2,ERK,ERK1/2,GSK3B,IGF1R,IRF1,Mapk,NFkB (complex),PTPN11,PXN,RAC1,RHOA,STAT1,STAT3,TP63,VAV1	3	 	0.194	9.42E-13	3.49E-02	ABCB1,APOC3,ARRB1,ATG9A,ATP6AP2,B2M,BAX,C3,C4A/C4B,CASP1,CAST,CCL4,CD14,CD44,CD82,CDK6,CEBPA,CHI3L1,CLEC11A,CMPK2,COL1A1,CPT2,CSTA,CTSD,CTSS,DDX60,DNMT1,EIF2AK2,ENG,ERAP1,EZR,FABP5,FN1,FOSL1,FUBP1,GBP2,GBP4,GDF15,GPNMB,GRN,HELZ2,HERC5,HK2,HLA-A,HLA-E,HLA-F,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IGFBP7,ISG15,JUND,KAT2B,KHSRP,KRT10,KYNU,MAP4K4,MMP2,MMP9,MTA1,MX1,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NPM1,NT5E,OAS1,PEA15,PLG,PNPT1,PPIA,PRPF4,PSIP1,PSMB3,PSMB7,PTPN2,PXN,RAB4B,RCC1,RHOC,S100A4,S100A8,SAR1A,SLC2A1,SLC7A11,SOD1,SRC,SRSF1,STAT1,TAP2,TAPBP,TDO2,TGFB1,THBS1,TPM1,TRIM21,VIM,WTAP	106 (20)	17
ASPSCR1-TFE3	 	fusion gene/product	ASPSCR1-TFE3	1	 	-1.257	9.46E-13	1.00E-04	APOE,ATP6V0A1,CAST,CTSA,CTSD,ELOC,EPS15L1,EZR,GDF15,GLB1,GNS,GPNMB,GRN,HLA-E,HMOX1,LAMP1,MAFF,MFSD1,MYOF,NPC2,PACSIN2,PEPD,PXN,RAB32,RAB7A,SCPEP1,TACC1,THEMIS2,UPP1,VAT1,WBP2	31 (1)	1
NOTCH1	0.170	transcription regulator	Akt,EGFR,ERK1/2,IGF1R,MAPK1,MTOR,NOTCH1,PRKAA,RPS6KB1,RUNX2	2	Inhibited	-3.145	9.88E-13	2.80E-03	ARRB1,AURKA,B2M,BAX,C3,CASP1,CCL4,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,CTSD,DDX58,DHCR24,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,HYOU1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,ISG15,JUN,LAP3,LUM,MKI67,MMP2,MMP9,MVP,MX2,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PEA15,PIN1,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RAB4B,RUNX1,SLC7A11,SPRY2,SRC,SRSF1,STAT1,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,TPM1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP	85 (10)	10
JAK1	-0.410	kinase	AKT1,ERK1/2,GSK3B,JAK1,MAPK1,STAT1,STAT3,STAT5a/b	2	Activated	4.013	1.10E-12	3.00E-03	APOBEC3G,ARRB1,ATP6AP2,AURKA,B2M,BAX,C3,C4A/C4B,CCL4,CD14,CD44,CD82,CDKN2C,CEBPA,CEBPB,CHI3L1,CLEC11A,COL1A1,CTSS,DDX58,DDX60,DNMT1,EHD1,EIF2AK2,ERAP1,ERP29,EZR,GBP1,GBP2,GBP4,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HMOX1,IDI1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,KAT2B,LAP3,MKI67,MMP2,MVP,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,NT5E,NUP188,OAS2,OAS3,OASL,PARP12,PLG,PML,PSIP1,PSME2,PTPN2,RAB4B,RFTN1,SLC2A1,SPRY2,STAT1,STAT2,STIP1,TAP2,TAPBP,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18	85 (8)	8
ARHGEF12	 	other	ARHGEF12,EGFR,F2R,MAPK1,RHOA	2	Activated	3.255	1.28E-12	2.00E-04	AURKA,CEBPB,CHI3L1,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GDF15,HERC5,HK2,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,ISG15,JUN,LAP3,MKI67,MVP,MX2,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RELA,RHOC,S100A4,SLC7A11,SPRY2,SRSF1,STAT1,STAT2,TAP1,TGM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	59 (5)	4
FGF5	 	growth factor	FGF5,FGFR1,MAPK1	2	Inhibited	-4.919	1.33E-12	1.00E-04	AURKA,BAX,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,HERC5,HK2,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,POU2F2,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	45 (3)	2
FRY	 	other	ERK1/2,FRY,MTORC2,MYC,NUAK1,P38 MAPK,RELA,STK38,STK38L,XPO1,YAP1	3	Inhibited	-2.804	1.33E-12	5.20E-03	ABCC1,ALCAM,ARHGDIB,ARRB1,ATP6AP2,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CEBPA,CLEC11A,COL1A1,COX5A,COX6B1,DNMT1,DOCK8,EHD1,EIF4E,ERAP1,EZR,GBP1,GOLGA2,GTF2B,H2AX,HK2,HLA-A,HMOX1,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IPO7,IRF2BP2,ISG15,JUND,MIF,MMP2,MMP9,MX1,MX2,NAMPT,NDUFS4,NFATC2,NFKB1,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,PXN,RAB4B,RCC1,RGS1,RPL11,RSAD2,SERPINE2,SRSF1,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,TGFB1,TGM2,THBS1,TK1,TMSB10/TMSB4X,TRADD,TRAF1,UBE2I,ZFP91	86 (11)	8
ZDHHC21	 	enzyme	AMPK,CD247,CD46,ERK,ERK1/2,Jnk,LAT,LCK,Mapk,MAPK1,MAPK14,NCL,NFAT (complex),NFkB (complex),P38 MAPK,PAK1,PLCG1,PRKCQ,PRKCZ,PTPN6,ZAP70,ZDHHC21	3	 	-1.460	1.39E-12	1.53E-02	ABCB1,AIF1,APOBEC3G,APOC3,ARRB1,AURKA,B2M,BAX,CCL4,CD36,CD55,CD82,CDK6,CEBPA,CLEC11A,COL1A1,DAB2,DDX58,EFEMP1,EHD1,EIF2AK2,ERP29,EZR,FABP5,FCER1G,FOSL1,GDF15,GOLGA2,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,KYNU,LAP3,MAP4K4,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NAMPT,NCF1,NDRG1,NFKB1,NFKB2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PHGDH,PLAU,PLG,PML,POSTN,PSAT1,PSME2,PXN,RAB4B,SAR1A,SLC2A1,SOD1,SPRY2,STAT2,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBS1,TRADD,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18	92 (22)	18
AZGP1	 	transporter	AZGP1,MAPK1	2	Activated	4.523	1.40E-12	1.00E-04	AURKA,CEBPB,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,HERC5,HK2,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	44 (2)	2
BDKRB2	 	G-protein coupled receptor	AKT1,BDKRB2,ERK1/2,JINK1/2,MAPK1	2	Inhibited	-4.481	1.41E-12	2.00E-04	ARRB1,AURKA,B2M,C3,CCL4,CD44,CEBPA,CEBPB,CLEC11A,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,GBP1,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLG,PML,PSME2,RAB4B,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	61 (5)	4
RSU1	-0.692	other	ATF2,CDC42,Creb,DYRK1B,ERK1/2,Jnk,MYC,NFAT5,NFkB (complex),P38 MAPK,RAC1,RELA,RHOA,RHOC,ROCK,ROCK1,RSU1,SRC (family),STAT3,Tgf beta	3	 	1.269	1.55E-12	2.88E-02	ABCB1,ABCC1,ALCAM,ARHGDIB,ARRB1,ASNS,ATP2A2,ATP6AP2,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD36,CD44,CD55,CD82,CEBPA,CHI3L1,CLEC11A,COL1A1,COL1A2,COX5A,CP,DNMT1,DOCK8,EIF4E,ERAP1,EZR,FABP5,FOSL1,GBP1,GDF15,GLUL,GOLGA2,GTF2B,HERC5,HK2,HLA-A,HLA-F,HSPB1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,IRF2BP2,JUN,JUND,KAT2B,KYNU,MIF,MMP2,MTA1,MX1,MX2,NAMPT,NDRG1,NFATC2,NFKB1,NFKB2,NOP16,NPM1,NUDT1,OAS1,OASL,PDCD4,PFKP,PLG,POLDIP3,POLR2D,PSIP1,PTPN2,PXN,RAB4B,RCC1,RGS1,RHOC,RPL11,RPS7,RSAD2,SAR1A,SERPINE2,SLC2A1,SRSF1,SUMO1,SUMO2,SUMO3,TAP2,TAPBP,TDO2,TGFB1,TGM2,THBS1,TMSB10/TMSB4X,TRADD,TRAF1,UBE2I,VIM,ZFP91	105 (20)	18
ARRB1	-0.932	transcription regulator	AKT1,ARRB1,EGFR,ERK,ERK1/2,IGF1R,Jnk,MAPK1,MAPK14,NR3C1,RELA	2	Inhibited	-3.007	1.63E-12	8.90E-03	APOBEC3G,ARHGDIB,ATP6AP2,AURKA,B2M,BAX,C3,CCL4,CEBPA,CHI3L1,CLEC11A,CTSD,DAB2,DDX58,DNMT1,DOCK8,EFEMP1,EHD1,EIF2AK2,ERP29,EZR,FN1,FOSL1,GDF15,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HMOX1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP2,IGFBP3,IRF2BP2,ISG15,JUN,JUND,LAP3,MAP4K4,MKI67,MMP2,MMP9,MVP,MX2,NAMPT,NDRG1,NDUFB8,NFATC2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLAU,PLG,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,PXN,RAB4B,RGS1,SERPINB9,SLC7A11,SPRY2,SRSF1,STAT2,TAP1,TAP2,TAPBP,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,ZFP91	93 (11)	10
STK38	 	kinase	ERK1/2,MYC,P38 MAPK,RELA,STK38,XPO1,YAP1	2	Inhibited	-2.619	1.89E-12	6.10E-03	ABCC1,ALCAM,ARHGDIB,ARRB1,ATP6AP2,B2M,BAG1,BCOR,BZW2,C3,CCL4,CD36,CD44,CD55,CD82,CDK6,CEBPA,CLEC11A,COL1A1,COX5A,DNMT1,DOCK8,EHD1,EIF4E,ERAP1,EZR,GBP1,GOLGA2,GTF2B,H2AX,HK2,HLA-A,HMOX1,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,IPO7,IRF2BP2,JUN,JUND,MIF,MMP2,MMP9,MX1,MX2,NAMPT,NFATC2,NFKB1,NPM1,OAS1,OASL,PDCD4,PLAU,POLDIP3,POLR2D,PXN,RAB4B,RCC1,RGS1,RPL11,RSAD2,SERPINE2,SLC2A1,SRSF1,SUMO1,SUMO2,SUMO3,TAP1,TAP2,TAPBP,TGFB1,TGM2,THBS1,TK1,TMSB10/TMSB4X,TRADD,TRAF1,UBE2I,ZFP91	84 (7)	6
FGF2	 	growth factor	Akt,ERK,ERK1/2,FGF2,FGFR1,Jnk,JUN,Mapk,MAPK1,Mek,MYC,NFkB (complex),P38 MAPK,RAC1,SRC	2	Inhibited	-2.704	1.98E-12	4.97E-02	ABCB1,ABCC1,ALCAM,APOBEC3G,APOC3,ARRB1,AURKA,B2M,BAG1,BAX,BCOR,BZW2,C3,CCL4,CD36,CD44,CD55,CEBPA,CLEC11A,COL1A1,COX5A,CSF1R,DDX58,DNMT1,EHD1,EIF2AK2,EIF4E,ERP29,EZR,FABP5,FOSL1,GDF15,GOLGA2,GOT1,GTF2B,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,ISG15,JUND,KYNU,LAP3,MAP4K4,MIF,MKI67,MMP2,MMP9,MTA1,MVP,MX1,MX2,NAMPT,NDRG1,NDUFB8,NFKB1,NFKB2,NPM1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PEA15,PLAU,PLG,PML,POLDIP3,POLR2D,POSTN,POU2F2,PSME2,PXN,RAB4B,RCC1,RPL11,RSAD2,SAR1A,SERPINE2,SLC2A1,SOD1,SPRY2,SRSF1,STAT2,SUMO1,SUMO2,SUMO3,TAP2,TAPBP,TDO2,TFB2M,TGFB1,TGM2,THBS1,TRADD,TREM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,WTAP	115 (15)	15
PLCD4	 	enzyme	MAP2K1/2,MAPK1,PLCD4,PRKCQ	2	Inhibited	-3.571	1.98E-12	1.00E-04	AURKA,C3,CHI3L1,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,FOSL1,GBP1,H2AX,HERC5,HK2,HLA-B,HLA-C,HLA-E,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MMP9,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	49 (4)	3
NTRK1	 	kinase	MAPK1,NTRK1,SOD2	2	Inhibited	-5.126	2.06E-12	1.00E-04	AURKA,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,H2AX,HERC5,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,YWHAZ	44 (3)	3
IQGAP1	-0.106	other	EGFR,ELK1,ERK,ERK1/2,ESR1,IQGAP1,MAPK1,PRKAA,RAC1,RHOA,SRC (family),YAP1	2	Inhibited	-3.232	2.09E-12	1.24E-02	AHNAK,ANO10,APOBEC3G,ARPC5L,ARRB1,ASS1,AURKA,B2M,BCAS3,C3,CD36,CD44,CDK1,CDK6,CHI3L1,CLEC11A,COL1A1,CP,CTSD,CTSS,DDX58,DNAJC21,DR1,EHD1,EIF2AK2,ENY2,ERAP1,ERP29,EZR,FOSL1,GDF15,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HNRNPD,HYOU1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGFBP3,INIP,ISG15,JUN,JUND,LAP3,LGALS1,MAP4K4,MKI67,MMP2,MVP,MX2,NDRG1,NDUFB8,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PDCD4,PGLS,PLAU,PML,POSTN,PPIA,PSMB3,PSMB7,PSME2,RAB4B,RELA,RHOC,RSAD2,SAMD9,SFPQ,SPRY2,SRSF1,STAT2,TACC1,TAP1,TAP2,TAPBP,TGFB1,TGM2,TK1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18	98 (12)	11
MAGEB2	-0.384	other	ATM,E2F1,MAGEB2,MAPK1,TP53	3	Activated	3.352	2.38E-12	1.51E-02	ABCB1,ABCC1,ACTB,AK1,AURKA,BAX,BID,BUB1B,CASP1,CDK1,CES2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,FAM3C,FKBP3,FN1,FOSL1,FUBP1,G3BP1,GBP1,GDF15,GLB1,HERC5,HK2,HLA-B,HLA-C,HLA-E,HMGB1,HMGN2,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,LAP3,LGALS3,MAD1L1,MGST2,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NDRG1,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PFKP,PHGDH,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSME2,PTPN6,RAD23A,RALY,RPS27L,RRAD,S100A4,SPRY2,SRC,ST14,STAT1,STAT2,STMN1,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,TGM2,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,YWHAH	109 (5)	5
DYRK1A	0.121	kinase	AMPK,DYRK1A,FOXO3,HDAC2,MYC,SIRT1,SREBF1,STAT1,STAT5a/b,TP53	3	 	-0.359	2.47E-12	2.81E-02	ABCB1,ACTB,AK1,ALCAM,APOBEC3F,APOBEC3G,ARF4,BAG1,BAX,BCOR,BID,BUB1B,BZW2,C4A/C4B,CAP2,CASP1,CD14,CD36,CD44,CDK1,CDKN2C,CES2,COL1A1,COMP,COX4I1,COX5A,CTSD,CTSS,CYCS,CYP51A1,DDX60,DNMT1,DUT,ECM1,EIF4E,ENG,FAM3C,FDPS,FKBP3,FN1,FOSL1,FUBP1,GBP1,GBP2,GBP4,GDF15,GLB1,GPNMB,GTF2B,HLA-E,HMGB1,HMGN2,HMOX1,HSPB1,IDI1,IFI44L,IGFBP3,IGFBP7,IL1RN,ISCU,ISG15,LGALS3,MAD1L1,MGST2,MMP2,MMP9,MTA1,MX1,MX2,NCF1,NDRG1,NFKB2,NPM1,NT5E,OASL,PDCD4,PFKP,PHGDH,PLAU,POLDIP3,POLR2D,PPM1A,PPP3CA,PPP4R2,PRAG1,PREX1,PTPN6,RAD23A,RALY,RCC1,RFTN1,RNASET2,RPL11,RPS27L,RRAD,RSAD2,S100A4,SERPINE2,SOD1,SRC,SRSF1,SRSF2,ST14,STAT1,STIP1,STMN1,SUMO1,SUMO2,SUMO3,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,THBD,THBS1,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,UBE2I,VIM,YWHAH	124 (10)	10
PCGEM1	 	other	AXL,ERK,ERK1/2,G6PD,Jnk,MYC,NFkB (complex),PCGEM1,RB1,RELA	3	Inhibited	-2.438	2.51E-12	6.00E-03	ABCB1,ABCC1,ACTB,ALCAM,APOBEC3G,ARHGDIB,ARRB1,ATP6AP2,B2M,BAG1,BAX,BCOR,BZW2,C3,CD44,CEBPA,CLEC11A,COL1A1,COX5A,DHCR24,DNMT1,DOCK8,EIF2AK2,EIF4E,ERAP1,EZR,FABP5,FH,FOSL1,GDF15,GGT1,GTF2B,HERC5,HK2,HLA-A,HLA-F,HSPB1,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IPO7,IRF2BP2,KRT10,KYNU,MAP4K4,MTA1,MX2,NAMPT,NDRG1,NFATC2,NFKB2,NPM1,OAS1,OASL,PDCD4,PGD,PGLS,PLAU,PLG,POLDIP3,POLR2D,POSTN,PXN,RAB4B,RBL2,RCC1,RELA,RGS1,RPL11,RSAD2,SAR1A,SERPINE2,SLC2A1,SRSF1,STAT1,SUMO1,SUMO2,SUMO3,TALDO1,TAP2,TAPBP,TDO2,TMSB10/TMSB4X,TRAF1,UBE2I,ZFP91	89 (10)	9
ADORA3	 	G-protein coupled receptor	ADORA3,ERK1/2,Gsk3,Jnk,MAP2K1/2,MAPK1,MAPK12,MAPK14	2	Inhibited	-3.973	2.53E-12	1.90E-03	ARRB1,AURKA,B2M,BAX,C3,CCL4,CD44,CEBPA,CEBPB,CHI3L1,CLEC11A,DAB2,DDX58,EFEMP1,EHD1,EIF2AK2,ERAP1,ERP29,EZR,FN1,FOSL1,GBP1,H2AX,HERC5,HK2,HLA-A,HLA-B,HLA-C,HLA-E,HSPB1,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,JUN,JUND,LAP3,MKI67,MMP2,MMP9,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PLG,PML,PSME2,RAB4B,SPRY2,STAT1,STAT2,TAP1,TAP2,TAPBP,TGM2,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	69 (8)	8
Gamma tubulin	 	group	ATM,E2F1,E2F3,Gamma tubulin,MAPK1,TP53	3	Inhibited	-2.414	2.53E-12	2.31E-02	ABCB1,ABCC1,ACTB,AK1,AURKA,BAX,BID,BUB1B,CASP1,CDK1,CES2,CTSD,DDX58,DNMT1,DUT,ECM1,EHD1,EIF2AK2,ENG,ERAP1,ERP29,FAM3C,FKBP3,FN1,FOSL1,FUBP1,GBP1,GDF15,GLB1,HERC5,HK2,HLA-B,HLA-C,HLA-E,HMGB1,HMGB2,HMGN2,HMOX1,IFI16,IFI35,IFI44L,IFIH1,IFIT1,IFIT2,IFIT3,IGF2,IGFBP3,IGFBP7,IL1RN,IPO7,ISCU,ISG15,LAP3,LGALS3,LPL,MAD1L1,MGST2,MKI67,MMP2,MMP9,MTA1,MVP,MX2,NDRG1,NT5E,NUCKS1,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PFKP,PHGDH,PML,PPM1A,PPP3CA,PPP4R2,PRAG1,PSME2,PTPN6,RAD23A,RALY,RPS27L,RRAD,S100A4,S100A8,SERPINH1,SPRY2,SRC,ST14,STAT1,STAT2,STMN1,TAGLN2,TANK,TAP1,TAP2,TFRC,TGFB1,TGM2,THBD,THBS1,TM9SF2,TMPO,TMSB10/TMSB4X,TPX2,TRAF1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM,XPO4,YWHAH	116 (6)	5
MAPK1	-0.504	kinase	MAPK1	1	Inhibited	-4.938	2.74E-12	1.00E-04	AURKA,DDX58,EHD1,EIF2AK2,ERAP1,ERP29,FN1,GBP1,HERC5,HLA-B,HLA-C,HLA-E,IFI16,IFI35,IFIH1,IFIT1,IFIT2,IFIT3,ISG15,LAP3,MKI67,MVP,MX2,NT5E,NUP188,OAS1,OAS2,OAS3,OASL,PARP12,PML,PSME2,SPRY2,STAT1,STAT2,TAP1,TRIM21,TRIM25,UBE2I,UBE2L6,UTP18,VIM	42 (1)	1
CST5	 	other	CST5	1	 	0.135	2.80E-12	1.00E-04	ABCC1,ACAT2,AHNAK,ARF6,BRIX1,C17orf49,CD44,CNBP,COPS8,CORO1A,CREBBP,DNAJB11,DR1,EEF1B2,EEF1D,EZR,FHL1,GOLGA2,GTPBP10,HNRNPDL,LOC102724159/PWP2,MAP1S,MVP,NCL,NDUFB1,NIP7,NRP1,NT5E,NUMA1,NUP107,NUP155,NUP188,NUP205,PIP4K2A,PPIC,PRDX2,RBM3,RNASEH2B,RRP15,RRS1,RTN3,RUNX1,S100A11,SLC7A11,SRSF1,SRSF9,SURF6,TARDBP,TXN,UCHL5,UTP14A,UTP18,VIM,WDR77,ZCCHC8	55 (1)	1
